match_id;round_code;round_name;match_date;kickoff_time;home_team;away_team;stadium;stadium_where;stadium_city;stadium_country;stadium_capacity;stadium_opened;fotmob_match_url
4667753;2;Giornata 2;2026-06-18;18:00;Cechia;Sudafrica;Atlanta Stadium;Atlanta, Georgia, USA;Atlanta;USA;75000;2017;https://www.fotmob.com/it/matches/south-africa-vs-czechia/1tbjja#4667753
4667759;2;Giornata 2;2026-06-18;21:00;Svizzera;Bosnia ed Erzegovina;Los Angeles Stadium;Inglewood, California, USA;Los Angeles;USA;70000;2020;https://www.fotmob.com/it/matches/switzerland-vs-bosnia-herzegovina/2c9awx#4667759
4667760;2;Giornata 2;2026-06-19;00:00;Canada;Qatar;BC Place Vancouver;Vancouver, British Columbia, Canada;Vancouver;Canada;54000;1983;https://www.fotmob.com/it/matches/canada-vs-qatar/14u9ym#4667760
4667754;2;Giornata 2;2026-06-19;03:00;Messico;Corea del Sud;Estadio Guadalajara;Zapopan, Jalisco, Messico;Guadalajara;Messico;48000;2010;https://www.fotmob.com/it/matches/mexico-vs-south-korea/1qpvav#4667754
4667774;2;Giornata 2;2026-06-19;21:00;Stati Uniti;Australia;Seattle Stadium;Seattle, Washington, USA;Seattle;USA;69000;2002;https://www.fotmob.com/it/matches/usa-vs-australia/1hox83#4667774
4667766;2;Giornata 2;2026-06-20;00:00;Scozia;Marocco;Boston Stadium;Foxborough, Massachusetts, USA;Boston;USA;65000;2002;https://www.fotmob.com/it/matches/morocco-vs-scotland/1sv292#4667766
4667767;2;Giornata 2;2026-06-20;02:30;Brasile;Haiti;Philadelphia Stadium;Philadelphia, Pennsylvania, USA;Philadelphia;USA;69000;2003;https://www.fotmob.com/it/matches/haiti-vs-brazil/1ny7ix#4667767
4667773;2;Giornata 2;2026-06-20;05:00;Turchia;Paraguay;San Francisco Bay Area Stadium;Santa Clara, California, USA;San Francisco Bay Area;USA;71000;2014;https://www.fotmob.com/it/matches/turkiye-vs-paraguay/1gte1s#4667773
4667786;2;Giornata 2;2026-06-20;19:00;Paesi Bassi;Svezia;Houston Stadium;Houston, Texas, USA;Houston;USA;72000;2002;https://www.fotmob.com/it/matches/netherlands-vs-sweden/1x1gy6#4667786
4667780;2;Giornata 2;2026-06-20;22:00;Germania;Costa d’Avorio;Toronto Stadium;Toronto, Ontario, Canada;Toronto;Canada;45000;2007;https://www.fotmob.com/it/matches/ivory-coast-vs-germany/1xi59e#4667780
4667779;2;Giornata 2;2026-06-21;02:00;Ecuador;Curaçao;Kansas City Stadium;Kansas City, Missouri, USA;Kansas City;USA;73000;1972;https://www.fotmob.com/it/matches/ecuador-vs-curacao/jy3jhs3#4667779
4667785;2;Giornata 2;2026-06-21;06:00;Tunisia;Giappone;Estadio Monterrey;Guadalupe, Nuevo León, Messico;Monterrey;Messico;53500;2015;https://www.fotmob.com/it/matches/japan-vs-tunisia/1hqd1q#4667785
4667801;2;Giornata 2;2026-06-21;18:00;Spagna;Arabia Saudita;Atlanta Stadium;Atlanta, Georgia, USA;Atlanta;USA;75000;2017;https://www.fotmob.com/it/matches/spain-vs-saudi-arabia/1qq6ht#4667801
4667793;2;Giornata 2;2026-06-21;21:00;Belgio;Iran;Los Angeles Stadium;Inglewood, California, USA;Los Angeles;USA;70000;2020;https://www.fotmob.com/it/matches/iran-vs-belgium/1ur91k#4667793
4667800;2;Giornata 2;2026-06-22;00:00;Uruguay;Capo Verde;Miami Stadium;Miami Gardens, Florida, USA;Miami;USA;65000;1987;https://www.fotmob.com/it/matches/uruguay-vs-cape-verde/14n97e#4667800
4667792;2;Giornata 2;2026-06-22;03:00;Nuova Zelanda;Egitto;BC Place Vancouver;Vancouver, British Columbia, Canada;Vancouver;Canada;54000;1983;https://www.fotmob.com/it/matches/new-zealand-vs-egypt/24xk7y#4667792
4667815;2;Giornata 2;2026-06-22;19:00;Argentina;Austria;Dallas Stadium;Arlington, Texas, USA;Dallas;USA;94000;2009;https://www.fotmob.com/it/matches/argentina-vs-austria/1un2w8#4667815
4667807;2;Giornata 2;2026-06-22;23:00;Francia;Iraq;Philadelphia Stadium;Philadelphia, Pennsylvania, USA;Philadelphia;USA;69000;2003;https://www.fotmob.com/it/matches/iraq-vs-france/1au1fo#4667807
4667806;2;Giornata 2;2026-06-23;02:00;Norvegia;Senegal;New York New Jersey Stadium;East Rutherford, New Jersey, USA;New York / New Jersey;USA;82500;2010;https://www.fotmob.com/it/matches/senegal-vs-norway/1tzewo#4667806
4667814;2;Giornata 2;2026-06-23;05:00;Giordania;Algeria;San Francisco Bay Area Stadium;Santa Clara, California, USA;San Francisco Bay Area;USA;71000;2014;https://www.fotmob.com/it/matches/jordan-vs-algeria/17tvf0#4667814
4667822;2;Giornata 2;2026-06-23;19:00;Portogallo;Uzbekistan;Houston Stadium;Houston, Texas, USA;Houston;USA;72000;2002;https://www.fotmob.com/it/matches/portugal-vs-uzbekistan/2enrsr#4667822
4667828;2;Giornata 2;2026-06-23;22:00;Inghilterra;Ghana;Boston Stadium;Foxborough, Massachusetts, USA;Boston;USA;65000;2002;https://www.fotmob.com/it/matches/ghana-vs-england/1wtyve#4667828
4667827;2;Giornata 2;2026-06-24;01:00;Panamá;Croazia;Toronto Stadium;Toronto, Ontario, Canada;Toronto;Canada;45000;2007;https://www.fotmob.com/it/matches/panama-vs-croatia/24y93x#4667827
4667821;2;Giornata 2;2026-06-24;04:00;Colombia;R.D. Congo;Estadio Guadalajara;Zapopan, Jalisco, Messico;Guadalajara;Messico;48000;2010;https://www.fotmob.com/it/matches/dr-congo-vs-colombia/1ra58w#4667821
4667762;3;Giornata 3;2026-06-24;21:00;Bosnia ed Erzegovina;Qatar;Seattle Stadium;Seattle, Washington, USA;Seattle;USA;69000;2002;https://www.fotmob.com/it/matches/qatar-vs-bosnia-herzegovina/24aiya#4667762
4667761;3;Giornata 3;2026-06-24;21:00;Svizzera;Canada;BC Place Vancouver;Vancouver, British Columbia, Canada;Vancouver;Canada;54000;1983;https://www.fotmob.com/it/matches/canada-vs-switzerland/1aq0cl#4667761
4667769;3;Giornata 3;2026-06-25;00:00;Marocco;Haiti;Atlanta Stadium;Atlanta, Georgia, USA;Atlanta;USA;75000;2017;https://www.fotmob.com/it/matches/haiti-vs-morocco/18aaq8#4667769
4667768;3;Giornata 3;2026-06-25;00:00;Scozia;Brasile;Miami Stadium;Miami Gardens, Florida, USA;Miami;USA;65000;1987;https://www.fotmob.com/it/matches/brazil-vs-scotland/2bkifh#4667768
4667755;3;Giornata 3;2026-06-25;03:00;Cechia;Messico;Mexico City Stadium;Città del Messico, Messico;Città del Messico;Messico;83000;1966;https://www.fotmob.com/it/matches/mexico-vs-czechia/1wualx#4667755
4667756;3;Giornata 3;2026-06-25;03:00;Sudafrica;Corea del Sud;Estadio Monterrey;Guadalupe, Nuevo León, Messico;Monterrey;Messico;53500;2015;https://www.fotmob.com/it/matches/south-africa-vs-south-korea/1ncyls#4667756
4667782;3;Giornata 3;2026-06-25;22:00;Curaçao;Costa d’Avorio;Philadelphia Stadium;Philadelphia, Pennsylvania, USA;Philadelphia;USA;69000;2003;https://www.fotmob.com/it/matches/ivory-coast-vs-curacao/jy3w4js#4667782
4667781;3;Giornata 3;2026-06-25;22:00;Ecuador;Germania;New York New Jersey Stadium;East Rutherford, New Jersey, USA;New York / New Jersey;USA;82500;2010;https://www.fotmob.com/it/matches/ecuador-vs-germany/1xhhol#4667781
4667788;3;Giornata 3;2026-06-26;01:00;Giappone;Svezia;Dallas Stadium;Arlington, Texas, USA;Dallas;USA;94000;2009;https://www.fotmob.com/it/matches/japan-vs-sweden/1x3r7y#4667788
