team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Senegal;776890;11;Nicolas Jackson;Punta centrale;20/06/2001;24;FC Bayern Monaco;1,87m;destro;32;8;21/11/2022;40,00 mln €;https://www.transfermarkt.com/nicolas-jackson/profil/spieler/776890
Senegal;480705;12;Cherif Ndiaye;Punta centrale;23/01/1996;30;Samsunspor;1,90m;destro;18;4;06/06/2024;5,00 mln €;https://www.transfermarkt.com/cherif-ndiaye/profil/spieler/480705
Senegal;623570;13;Iliman Ndiaye;Ala destra;06/03/2000;26;FC Everton;1,80m;destro;39;4;04/06/2022;55,00 mln €;https://www.transfermarkt.com/iliman-ndiaye/profil/spieler/623570
Senegal;375137;14;Ismail Jakobs;Terzino sinistro;17/08/1999;26;Galatasaray;1,84m;sinistro;29;-;24/09/2022;8,00 mln €;https://www.transfermarkt.com/ismail-jakobs/profil/spieler/375137
Senegal;490426;15;Krépin Diatta;Esterno di destra;25/02/1999;27;AS Monaco;1,73m;destro;60;2;23/03/2019;6,00 mln €;https://www.transfermarkt.com/krepin-diatta/profil/spieler/490426
Senegal;442531;16;Edouard Mendy;Portiere;01/03/1992;34;Al-Ahli SFC;1,94m;destro;56;-;17/11/2018;4,00 mln €;https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531
Senegal;568693;17;Pape Matar Sarr;Centrocampista;14/09/2002;23;Tottenham Hotspur;1,85m;destro;39;4;26/03/2021;30,00 mln €;https://www.transfermarkt.com/pape-matar-sarr/profil/spieler/568693
Senegal;410225;18;Ismaïla Sarr;Ala destra;25/02/1998;28;Crystal Palace;1,85m;destro;82;19;03/09/2016;40,00 mln €;https://www.transfermarkt.com/ismaila-sarr/profil/spieler/410225
Senegal;291200;19;Moussa Niakhaté;Difensore centrale;08/03/1996;30;Olympique Lione;1,90m;sinistro;30;-;24/03/2023;15,00 mln €;https://www.transfermarkt.com/moussa-niakhate/profil/spieler/291200
Senegal;1185888;20;Ibrahim Mbaye;Ala destra;24/01/2008;18;FC Paris Saint-Germain;1,75m;destro;10;3;15/11/2025;30,00 mln €;https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888
