team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Cechia;1206877;25;Hugo Sochurek;Centrocampista;07/06/2008;17;AC Sparta Praga;1,83m;destro;1;-;31/05/2026;3,50 mln €;https://www.transfermarkt.com/hugo-sochurek/profil/spieler/1206877
Cechia;652060;26;Denis Visinsky;Trequartista;21/03/2003;23;FC Viktoria Plzen;1,78m;destro;2;1;31/05/2026;3,00 mln €;https://www.transfermarkt.com/denis-visinsky/profil/spieler/652060
Colombia;73396;1;David Ospina;Portiere;31/08/1988;37;Atlético Nacional;1,83m;destro;131;-;07/02/2007;100 mila €;https://www.transfermarkt.com/david-ospina/profil/spieler/73396
Colombia;493003;2;Daniel Muñoz;Terzino destro;26/05/1996;30;Crystal Palace;1,80m;destro;45;3;04/06/2021;22,00 mln €;https://www.transfermarkt.com/daniel-munoz/profil/spieler/493003
Colombia;413565;3;Jhon Lucumí;Difensore centrale;26/06/1998;27;Bologna FC;1,87m;sinistro;36;1;04/06/2019;22,00 mln €;https://www.transfermarkt.com/jhon-lucumi/profil/spieler/413565
Colombia;120443;4;Santiago Arias;Terzino destro;13/01/1992;34;CA Independiente;1,77m;destro;67;-;16/10/2013;1,20 mln €;https://www.transfermarkt.com/santiago-arias/profil/spieler/120443
Colombia;857948;5;Kevin Castaño;Mediano;29/09/2000;25;CA River Plate;1,79m;destro;25;-;29/01/2023;5,00 mln €;https://www.transfermarkt.com/kevin-castano/profil/spieler/857948
Colombia;735573;6;Richard Ríos;Mediano;02/06/2000;26;Benfica Lisbona;1,85m;destro;31;2;12/10/2023;25,00 mln €;https://www.transfermarkt.com/richard-rios/profil/spieler/735573
Colombia;480692;7;Luis Díaz;Ala sinistra;13/01/1997;29;FC Bayern Monaco;1,79m;destro;73;22;12/09/2018;70,00 mln €;https://www.transfermarkt.com/luis-diaz/profil/spieler/480692
Colombia;354145;8;Jorge Carrascal;Trequartista;25/05/1998;28;Clube Regatas Flamengo;1,80m;destro;23;2;25/09/2022;13,00 mln €;https://www.transfermarkt.com/jorge-carrascal/profil/spieler/354145
Colombia;185245;9;Jhon Córdoba;Punta centrale;11/05/1993;33;FK Krasnodar;1,86m;destro;21;6;17/11/2023;10,00 mln €;https://www.transfermarkt.com/jhon-cordoba/profil/spieler/185245
Colombia;88103;10;James Rodríguez;Trequartista;12/07/1991;34;Minnesota United FC;1,81m;sinistro;125;31;11/10/2011;1,50 mln €;https://www.transfermarkt.com/james-rodriguez/profil/spieler/88103
Colombia;588989;11;Jhon Arias;Ala destra;21/09/1997;28;SE Palmeiras;1,68m;destro;37;4;05/06/2022;15,00 mln €;https://www.transfermarkt.com/jhon-arias/profil/spieler/588989
Colombia;74113;12;Camilo Vargas;Portiere;09/03/1989;37;Atlas Guadalajara;1,83m;sinistro;41;-;11/10/2014;450 mila €;https://www.transfermarkt.com/camilo-vargas/profil/spieler/74113
Colombia;289446;13;Yerry Mina;Difensore centrale;23/09/1994;31;Cagliari Calcio;1,95m;destro;53;8;08/06/2016;2,50 mln €;https://www.transfermarkt.com/yerry-mina/profil/spieler/289446
Colombia;936981;14;Gustavo Puerta;Centrocampista;23/07/2003;22;Racing Santander;1,73m;destro;5;1;16/11/2025;10,00 mln €;https://www.transfermarkt.com/gustavo-puerta/profil/spieler/936981
Colombia;585747;15;Juan Portilla;Centrocampista;12/09/1998;27;Club Athletico Paranaense;1,81m;destro;9;-;10/09/2024;5,00 mln €;https://www.transfermarkt.com/juan-portilla/profil/spieler/585747
Colombia;262980;16;Jefferson Lerma;Mediano;25/10/1994;31;Crystal Palace;1,80m;destro;64;5;10/11/2017;6,00 mln €;https://www.transfermarkt.com/jefferson-lerma/profil/spieler/262980
Colombia;262939;17;Johan Mojica;Terzino sinistro;21/08/1992;33;RCD Mallorca;1,84m;sinistro;44;1;26/03/2015;1,50 mln €;https://www.transfermarkt.com/johan-mojica/profil/spieler/262939
Colombia;609255;18;Willer Ditta;Difensore centrale;23/01/1998;28;CD Cruz Azul;1,79m;destro;4;-;18/10/2023;5,50 mln €;https://www.transfermarkt.com/willer-ditta/profil/spieler/609255
Colombia;459463;19;Cucho Hernández;Punta centrale;20/04/1999;27;Real Betis Balompié;1,76m;destro;8;2;17/10/2018;18,00 mln €;https://www.transfermarkt.com/cucho-hernandez/profil/spieler/459463
Colombia;122582;20;Juan Fernando Quintero;Trequartista;18/01/1993;33;CA River Plate;1,67m;sinistro;48;6;17/10/2012;1,80 mln €;https://www.transfermarkt.com/juan-fernando-quintero/profil/spieler/122582
Colombia;491553;21;Jáminton Campaz;Ala sinistra;24/05/2000;26;CA Rosario Central;1,66m;sinistro;9;1;17/06/2021;5,50 mln €;https://www.transfermarkt.com/jaminton-campaz/profil/spieler/491553
Colombia;332560;22;Deiver Machado;Terzino sinistro;02/09/1993;32;FC Nantes;1,73m;sinistro;15;-;12/09/2018;1,80 mln €;https://www.transfermarkt.com/deiver-machado/profil/spieler/332560
Colombia;341429;23;Davinson Sánchez;Difensore centrale;12/06/1996;29;Galatasaray;1,88m;destro;78;4;16/11/2016;16,00 mln €;https://www.transfermarkt.com/davinson-sanchez/profil/spieler/341429
Colombia;292985;24;Álvaro Montero;Portiere;29/03/1995;31;CA Vélez Sarsfield;2,01m;destro;11;-;04/06/2019;2,50 mln €;https://www.transfermarkt.com/alvaro-montero/profil/spieler/292985
Colombia;424784;25;Luis Suárez;Punta centrale;02/12/1997;28;Sporting CP;1,79m;destro;11;5;17/11/2020;30,00 mln €;https://www.transfermarkt.com/luis-suarez/profil/spieler/424784
Colombia;957461;26;Andrés Gómez;Ala sinistra;12/09/2002;23;Clube Vasco da Gama;1,70m;destro;7;2;10/12/2023;11,00 mln €;https://www.transfermarkt.com/andres-gomez/profil/spieler/957461
Corea del Sud;92076;1;Seung-gyu Kim;Portiere;30/09/1990;35;FC Tokyo;1,89m;destro;86;-;14/08/2013;500 mila €;https://www.transfermarkt.com/seung-gyu-kim/profil/spieler/92076
Corea del Sud;706963;2;Han-beom Lee;Difensore centrale;17/06/2002;23;FC Midtjylland;1,88m;destro;8;-;10/06/2025;3,00 mln €;https://www.transfermarkt.com/han-beom-lee/profil/spieler/706963
Corea del Sud;763349;3;Gi-hyuk Lee;Difensore centrale;07/07/2000;25;Gangwon FC;1,84m;sinistro;3;-;24/07/2022;800 mila €;https://www.transfermarkt.com/gi-hyuk-lee/profil/spieler/763349
Corea del Sud;503482;4;Min-jae Kim;Difensore centrale;15/11/1996;29;FC Bayern Monaco;1,90m;destro;79;4;31/08/2017;20,00 mln €;https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482
Corea del Sud;645847;5;Tae-hyeon Kim;Difensore centrale;17/09/2000;25;Kashima Antlers;1,86m;sinistro;7;-;11/07/2025;1,20 mln €;https://www.transfermarkt.com/tae-hyeon-kim/profil/spieler/645847
Corea del Sud;365394;6;In-beom Hwang;Mediano;20/09/1996;29;Feyenoord Rotterdam;1,77m;entrambi;73;6;07/09/2018;7,00 mln €;https://www.transfermarkt.com/in-beom-hwang/profil/spieler/365394
Corea del Sud;91845;7;Heung-min Son;Ala sinistra;08/07/1992;33;Los Angeles FC;1,83m;entrambi;145;56;30/12/2010;15,00 mln €;https://www.transfermarkt.com/heung-min-son/profil/spieler/91845
Corea del Sud;282689;8;Seung-ho Paik;Centrocampista;17/03/1997;29;Birmingham City;1,82m;destro;27;3;11/06/2019;2,00 mln €;https://www.transfermarkt.com/seung-ho-paik/profil/spieler/282689
Corea del Sud;652537;9;Gue-sung Cho;Punta centrale;25/01/1998;28;FC Midtjylland;1,88m;destro;44;12;07/09/2021;2,50 mln €;https://www.transfermarkt.com/gue-sung-cho/profil/spieler/652537
Corea del Sud;314398;10;Jae-sung Lee;Trequartista;10/08/1992;33;1.FSV Magonza 05;1,80m;sinistro;105;15;27/03/2015;2,00 mln €;https://www.transfermarkt.com/jae-sung-lee/profil/spieler/314398
Corea del Sud;292246;11;Hee-chan Hwang;Punta centrale;26/01/1996;30;Wolverhampton Wanderers;1,77m;destro;79;17;01/09/2016;6,00 mln €;https://www.transfermarkt.com/hee-chan-hwang/profil/spieler/292246
Corea del Sud;508237;12;Bum-keun Song;Portiere;15/10/1997;28;Jeonbuk Hyundai Motors;1,96m;destro;3;-;24/07/2022;1,00 mln €;https://www.transfermarkt.com/bum-keun-song/profil/spieler/508237
Corea del Sud;639027;13;Tae-seok Lee;Terzino sinistro;28/07/2002;23;Austria Vienna;1,74m;sinistro;15;1;14/11/2024;2,00 mln €;https://www.transfermarkt.com/tae-seok-lee/profil/spieler/639027
Corea del Sud;550978;14;Wi-je Cho;Difensore centrale;25/08/2001;24;Jeonbuk Hyundai Motors;1,90m;destro;1;-;04/06/2026;550 mila €;https://www.transfermarkt.com/wi-je-cho/profil/spieler/550978
Corea del Sud;524592;15;Moon-hwan Kim;Terzino destro;01/08/1995;30;Daejeon Hana Citizen;1,73m;destro;35;-;07/09/2018;750 mila €;https://www.transfermarkt.com/moon-hwan-kim/profil/spieler/524592
Corea del Sud;557469;16;Jin-seob Park;Mediano;23/10/1995;30;Zhejiang FC;1,83m;destro;14;1;21/11/2023;1,00 mln €;https://www.transfermarkt.com/jin-seob-park/profil/spieler/557469
Corea del Sud;912081;17;Jun-ho Bae;Trequartista;21/08/2003;22;Stoke City;1,80m;destro;13;2;06/06/2024;4,00 mln €;https://www.transfermarkt.com/jun-ho-bae/profil/spieler/912081
Corea del Sud;639246;18;Hyeon-gyu Oh;Punta centrale;12/04/2001;25;Besiktas JK;1,83m;destro;27;6;11/11/2022;15,00 mln €;https://www.transfermarkt.com/hyeon-gyu-oh/profil/spieler/639246
Corea del Sud;557149;19;Kang-in Lee;Trequartista;19/02/2001;25;FC Paris Saint-Germain;1,74m;sinistro;47;11;05/09/2019;28,00 mln €;https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149
Corea del Sud;853110;20;Hyun-jun Yang;Ala destra;25/05/2002;24;Celtic Glasgow;1,79m;destro;9;-;07/09/2023;5,00 mln €;https://www.transfermarkt.com/hyun-jun-yang/profil/spieler/853110
Corea del Sud;260171;21;Hyeon-woo Jo;Portiere;25/09/1991;34;Ulsan HD FC;1,89m;destro;48;-;14/11/2017;650 mila €;https://www.transfermarkt.com/hyeon-woo-jo/profil/spieler/260171
Corea del Sud;639414;22;Young-woo Seol;Terzino destro;05/12/1998;27;Stella Rossa Belgrado;1,80m;destro;34;-;20/06/2023;6,50 mln €;https://www.transfermarkt.com/young-woo-seol/profil/spieler/639414
Corea del Sud;613192;23;Jens Castrop;Centrocampista;29/07/2003;22;Borussia Mönchengladbach;1,78m;destro;7;-;06/09/2025;10,00 mln €;https://www.transfermarkt.com/jens-castrop/profil/spieler/613192
Corea del Sud;365377;24;Jin-gyu Kim;Centrocampista;24/02/1997;29;Jeonbuk Hyundai Motors;1,77m;destro;22;3;15/01/2022;1,20 mln €;https://www.transfermarkt.com/jin-gyu-kim/profil/spieler/365377
Corea del Sud;706968;25;Ji-sung Eom;Ala sinistra;09/05/2002;24;Swansea City;1,77m;destro;9;2;15/01/2022;1,80 mln €;https://www.transfermarkt.com/ji-sung-eom/profil/spieler/706968
Corea del Sud;558086;26;Dong-gyeong Lee;Trequartista;20/09/1997;28;Ulsan HD FC;1,75m;sinistro;18;4;05/09/2019;1,60 mln €;https://www.transfermarkt.com/dong-gyeong-lee/profil/spieler/558086
Costa d'Avorio;418651;1;Yahia Fofana;Portiere;21/08/2000;25;Caykur Rizespor;1,94m;destro;34;-;09/09/2023;5,00 mln €;https://www.transfermarkt.com/yahia-fofana/profil/spieler/418651
Costa d'Avorio;974982;2;Ousmane Diomande;Difensore centrale;04/12/2003;22;Sporting CP;1,90m;destro;14;-;09/09/2023;42,00 mln €;https://www.transfermarkt.com/ousmane-diomande/profil/spieler/974982
Costa d'Avorio;422850;3;Ghislain Konan;Terzino sinistro;27/12/1995;30;Gil Vicente FC;1,76m;sinistro;53;-;04/06/2017;3,00 mln €;https://www.transfermarkt.com/ghislain-konan/profil/spieler/422850
Costa d'Avorio;178614;4;Jean Michaël Seri;Mediano;19/07/1991;34;NK Maribor;1,68m;destro;63;4;06/09/2015;100 mila €;https://www.transfermarkt.com/jean-michael-seri/profil/spieler/178614
Costa d'Avorio;648779;5;Wilfried Singo;Difensore centrale;25/12/2000;25;Galatasaray;1,82m;destro;33;1;05/06/2021;23,00 mln €;https://www.transfermarkt.com/wilfried-singo/profil/spieler/648779
Costa d'Avorio;182893;6;Seko Fofana;Centrocampista;07/05/1995;31;FC Porto;1,85m;destro;32;7;11/11/2017;8,00 mln €;https://www.transfermarkt.com/seko-fofana/profil/spieler/182893
Costa d'Avorio;644771;7;Odilon Kossounou;Difensore centrale;04/01/2001;25;Atalanta;1,91m;destro;35;-;08/10/2020;15,00 mln €;https://www.transfermarkt.com/odilon-kossounou/profil/spieler/644771
Costa d'Avorio;294808;8;Franck Kessié;Centrocampista;19/12/1996;29;Al-Ahli SFC;1,83m;destro;100;14;06/09/2014;12,00 mln €;https://www.transfermarkt.com/franck-kessie/profil/spieler/294808
Costa d'Avorio;827734;9;Ange-Yoan Bonny;Punta centrale;25/10/2003;22;Inter;1,89m;destro;1;-;04/06/2026;35,00 mln €;https://www.transfermarkt.com/ange-yoan-bonny/profil/spieler/827734
Costa d'Avorio;658536;10;Simon Adingra;Ala sinistra;01/01/2002;24;AS Monaco;1,75m;destro;29;5;17/06/2023;22,00 mln €;https://www.transfermarkt.com/simon-adingra/profil/spieler/658536
Costa d'Avorio;1390649;11;Yan Diomande;Ala sinistra;14/11/2006;19;RB Lipsia;1,80m;destro;10;3;10/10/2025;90,00 mln €;https://www.transfermarkt.com/yan-diomande/profil/spieler/1390649
Costa d'Avorio;659542;12;Elye Wahi;Punta centrale;02/01/2003;23;OGC Nizza;1,81m;destro;2;-;31/03/2026;18,00 mln €;https://www.transfermarkt.com/elye-wahi/profil/spieler/659542
Costa d'Avorio;469976;13;Christopher Operi;Terzino sinistro;29/04/1997;29;Basaksehir FK;1,83m;sinistro;12;-;07/06/2024;4,00 mln €;https://www.transfermarkt.com/christopher-operi/profil/spieler/469976
Costa d'Avorio;847279;14;Oumar Diakité;Punta centrale;20/12/2003;22;Cercle Brugge;1,82m;destro;29;6;09/09/2023;5,00 mln €;https://www.transfermarkt.com/oumar-diakite/profil/spieler/847279
Costa d'Avorio;536835;15;Amad Diallo;Ala destra;11/07/2002;23;Manchester United;1,73m;sinistro;19;6;26/03/2021;45,00 mln €;https://www.transfermarkt.com/amad-diallo/profil/spieler/536835
Costa d'Avorio;911985;16;Mohamed Koné;Portiere;07/03/2002;24;R Charleroi SC;1,86m;destro;-;-;31/03/2026;2,00 mln €;https://www.transfermarkt.com/mohamed-kone/profil/spieler/911985
Costa d'Avorio;711980;17;Guéla Doué;Terzino destro;17/10/2002;23;RC Strasburgo;1,87m;destro;20;3;23/03/2024;20,00 mln €;https://www.transfermarkt.com/guela-doue/profil/spieler/711980
Costa d'Avorio;375885;18;Ibrahim Sangaré;Mediano;02/12/1997;28;Nottingham Forest;1,91m;destro;54;11;30/11/2014;20,00 mln €;https://www.transfermarkt.com/ibrahim-sangare/profil/spieler/375885
Costa d'Avorio;343052;19;Nicolas Pépé;Ala destra;29/05/1995;31;Villarreal CF;1,83m;sinistro;53;12;15/11/2016;6,00 mln €;https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052
Costa d'Avorio;683895;20;Emmanuel Agbadou;Difensore centrale;17/06/1997;28;Besiktas JK;1,85m;destro;21;2;08/10/2021;16,00 mln €;https://www.transfermarkt.com/emmanuel-agbadou/profil/spieler/683895
Costa d'Avorio;371149;21;Evan Ndicka;Difensore centrale;20/08/1999;26;AS Roma;1,92m;sinistro;27;-;09/09/2023;35,00 mln €;https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149
Costa d'Avorio;500689;22;Evann Guessand;Ala destra;01/07/2001;24;Crystal Palace;1,88m;destro;21;4;11/06/2024;25,00 mln €;https://www.transfermarkt.com/evann-guessand/profil/spieler/500689
Costa d'Avorio;357117;23;Alban Lafont;Portiere;23/01/1999;27;Panathinaikos;1,96m;destro;4;-;10/10/2025;3,00 mln €;https://www.transfermarkt.com/alban-lafont/profil/spieler/357117
Costa d'Avorio;1067904;24;Bazoumana Touré;Ala sinistra;02/03/2006;20;TSG 1899 Hoffenheim;1,78m;sinistro;6;2;10/10/2025;40,00 mln €;https://www.transfermarkt.com/bazoumana-toure/profil/spieler/1067904
Costa d'Avorio;624913;25;Parfait Guiagon;Ala sinistra;22/02/2001;25;R Charleroi SC;1,65m;destro;5;-;11/06/2025;5,00 mln €;https://www.transfermarkt.com/parfait-guiagon/profil/spieler/624913
Costa d'Avorio;1279526;26;Christ Inao Oulaï;Centrocampista;06/04/2006;20;Trabzonspor;1,73m;destro;9;-;14/11/2025;23,00 mln €;https://www.transfermarkt.com/christ-inao-oulai/profil/spieler/1279526
Croazia;205927;1;Dominik Livakovic;Portiere;09/01/1995;31;GNK Dinamo Zagabria;1,88m;destro;74;-;11/01/2017;4,00 mln €;https://www.transfermarkt.com/dominik-livakovic/profil/spieler/205927
Croazia;483046;2;Josip Stanisic;Terzino destro;02/04/2000;26;FC Bayern Monaco;1,87m;entrambi;30;-;08/10/2021;40,00 mln €;https://www.transfermarkt.com/josip-stanisic/profil/spieler/483046
Croazia;282144;3;Marin Pongracic;Difensore centrale;11/09/1997;28;ACF Fiorentina;1,93m;destro;19;-;11/11/2020;6,50 mln €;https://www.transfermarkt.com/marin-pongracic/profil/spieler/282144
Croazia;475959;4;Josko Gvardiol;Difensore centrale;23/01/2002;24;Manchester City;1,85m;sinistro;47;4;06/06/2021;70,00 mln €;https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959
Croazia;238266;5;Duje Caleta-Car;Difensore centrale;17/09/1996;29;Real Sociedad;1,93m;destro;38;1;03/06/2018;2,80 mln €;https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266
Croazia;371001;6;Josip Sutalo;Difensore centrale;28/02/2000;26;Ajax Amsterdam;1,85m;destro;32;-;10/06/2022;12,00 mln €;https://www.transfermarkt.com/josip-sutalo/profil/spieler/371001
Croazia;316934;7;Nikola Moro;Mediano;12/03/1998;28;Bologna FC;1,83m;destro;10;-;29/03/2022;7,00 mln €;https://www.transfermarkt.com/nikola-moro/profil/spieler/316934
Croazia;51471;8;Mateo Kovacic;Centrocampista;06/05/1994;32;Manchester City;1,78m;destro;112;5;22/03/2013;10,00 mln €;https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471
Croazia;46580;9;Andrej Kramaric;Trequartista;19/06/1991;34;TSG 1899 Hoffenheim;1,77m;destro;115;36;04/09/2014;2,50 mln €;https://www.transfermarkt.com/andrej-kramaric/profil/spieler/46580
Croazia;27992;10;Luka Modrić;Centrocampista;09/09/1985;40;AC Milan;1,72m;destro;197;28;01/03/2006;3,50 mln €;https://www.transfermarkt.com/luka-modric/profil/spieler/27992
Croazia;46413;11;Ante Budimir;Punta centrale;22/07/1991;34;CA Osasuna;1,90m;sinistro;37;6;07/10/2020;2,80 mln €;https://www.transfermarkt.com/ante-budimir/profil/spieler/46413
Croazia;371013;12;Ivor Pandur;Portiere;25/03/2000;26;Hull City;1,87m;destro;-;-;-;4,50 mln €;https://www.transfermarkt.com/ivor-pandur/profil/spieler/371013
Croazia;293200;13;Nikola Vlašić;Trequartista;04/10/1997;28;Torino FC;1,79m;destro;62;10;28/05/2017;10,00 mln €;https://www.transfermarkt.com/nikola-vlasic/profil/spieler/293200
Croazia;42460;14;Ivan Perišić;Ala sinistra;02/02/1989;37;PSV Eindhoven;1,86m;entrambi;153;38;26/03/2011;1,20 mln €;https://www.transfermarkt.com/ivan-perisic/profil/spieler/42460
Croazia;205938;15;Mario Pašalić;Centrocampista;09/02/1995;31;Atalanta;1,88m;destro;84;11;04/09/2014;6,00 mln €;https://www.transfermarkt.com/mario-pasalic/profil/spieler/205938
Croazia;580451;16;Martin Baturina;Trequartista;16/02/2003;23;Como 1907;1,72m;destro;18;1;18/11/2023;30,00 mln €;https://www.transfermarkt.com/martin-baturina/profil/spieler/580451
Croazia;668207;17;Petar Sučić;Centrocampista;25/10/2003;22;Inter;1,83m;destro;16;1;05/09/2024;40,00 mln €;https://www.transfermarkt.com/petar-sucic/profil/spieler/668207
Croazia;374954;18;Kristijan Jakic;Mediano;14/05/1997;29;FC Augusta;1,81m;destro;17;2;08/10/2021;6,00 mln €;https://www.transfermarkt.com/kristijan-jakic/profil/spieler/374954
Croazia;432758;19;Toni Fruk;Trequartista;09/03/2001;25;HNK Rijeka;1,77m;sinistro;7;1;05/09/2025;9,00 mln €;https://www.transfermarkt.com/toni-fruk/profil/spieler/432758
Croazia;605268;20;Igor Matanovic;Punta centrale;31/03/2003;23;SC Friburgo;1,94m;destro;8;2;05/09/2024;22,00 mln €;https://www.transfermarkt.com/igor-matanovic/profil/spieler/605268
Croazia;502722;21;Luka Sucic;Centrocampista;08/09/2002;23;Real Sociedad;1,85m;sinistro;20;1;11/10/2021;10,00 mln €;https://www.transfermarkt.com/luka-sucic/profil/spieler/502722
Croazia;892160;22;Luka Vuskovic;Difensore centrale;24/02/2007;19;Amburgo SV;1,93m;destro;5;1;09/06/2025;60,00 mln €;https://www.transfermarkt.com/luka-vuskovic/profil/spieler/892160
Croazia;370997;23;Dominik Kotarski;Portiere;10/02/2000;26;FC Copenhagen;1,90m;destro;4;-;26/03/2024;5,00 mln €;https://www.transfermarkt.com/dominik-kotarski/profil/spieler/370997
Croazia;395928;24;Marco Pašalić;Ala destra;14/09/2000;25;Orlando City SC;1,77m;sinistro;14;1;18/11/2023;6,50 mln €;https://www.transfermarkt.com/marco-pasalic/profil/spieler/395928
Croazia;357003;25;Martin Erlić;Difensore centrale;24/01/1998;28;FC Midtjylland;1,92m;destro;12;1;06/06/2022;4,00 mln €;https://www.transfermarkt.com/martin-erlic/profil/spieler/357003
Croazia;387110;26;Petar Musa;Punta centrale;04/03/1998;28;FC Dallas;1,90m;destro;11;1;25/03/2023;12,00 mln €;https://www.transfermarkt.com/petar-musa/profil/spieler/387110
Curaçao;79294;1;Eloy Room;Portiere;06/02/1989;37;Miami FC;1,90m;destro;68;-;11/06/2015;150 mila €;https://www.transfermarkt.com/eloy-room/profil/spieler/79294
Curaçao;412937;2;Shurandy Sambo;Terzino destro;19/08/2001;24;Sparta Rotterdam;1,74m;destro;7;-;06/09/2025;1,30 mln €;https://www.transfermarkt.com/shurandy-sambo/profil/spieler/412937
Curaçao;328455;3;Juriën Gaari;Difensore centrale;23/12/1993;32;Abha Club;1,83m;destro;58;1;06/10/2016;350 mila €;https://www.transfermarkt.com/jurien-gaari/profil/spieler/328455
Curaçao;401029;4;Roshon van Eijma;Difensore centrale;09/06/1998;27;RKC Waalwijk;1,86m;destro;26;1;25/03/2021;375 mila €;https://www.transfermarkt.com/roshon-van-eijma/profil/spieler/401029
Curaçao;315211;5;Sherel Floranus;Terzino sinistro;23/08/1998;27;PEC Zwolle;1,81m;destro;26;-;26/03/2023;800 mila €;https://www.transfermarkt.com/sherel-floranus/profil/spieler/315211
Curaçao;393241;6;Godfried Roemeratoe;Mediano;19/08/1999;26;RKC Waalwijk;1,78m;destro;27;1;26/03/2023;350 mila €;https://www.transfermarkt.com/godfried-roemeratoe/profil/spieler/393241
Curaçao;348863;7;Juninho Bacuna;Centrocampista;07/08/1997;28;FC Volendam;1,78m;destro;48;13;08/09/2019;1,70 mln €;https://www.transfermarkt.com/juninho-bacuna/profil/spieler/348863
Curaçao;626764;8;Livano Comenencia;Terzino destro;03/02/2004;22;FC Zurigo;1,85m;destro;18;1;11/10/2024;500 mila €;https://www.transfermarkt.com/livano-comenencia/profil/spieler/626764
Curaçao;166240;9;Jürgen Locadia;Punta centrale;07/11/1993;32;Miami FC;1,93m;destro;13;1;13/06/2023;200 mila €;https://www.transfermarkt.com/jurgen-locadia/profil/spieler/166240
Curaçao;126014;10;Leandro Bacuna;Centrocampista;21/08/1991;34;Igdir FK;1,80m;destro;69;16;24/03/2016;250 mila €;https://www.transfermarkt.com/leandro-bacuna/profil/spieler/126014
Curaçao;594273;11;Jeremy Antonisse;Ala sinistra;29/03/2002;24;AE Kifisia;1,64m;destro;25;3;25/03/2021;800 mila €;https://www.transfermarkt.com/jeremy-antonisse/profil/spieler/594273
Curaçao;485582;12;Sontje Hansen;Ala destra;18/05/2002;24;FC Middlesbrough;1,76m;destro;5;1;11/10/2025;3,50 mln €;https://www.transfermarkt.com/sontje-hansen/profil/spieler/485582
Curaçao;708005;13;Tyrese Noslin;Esterno di destra;11/09/2002;23;SC Telstar;1,82m;destro;6;1;06/09/2025;750 mila €;https://www.transfermarkt.com/tyrese-noslin/profil/spieler/708005
Curaçao;374889;14;Kenji Gorré;Ala sinistra;29/09/1994;31;Maccabi Haifa;1,74m;destro;36;6;26/06/2019;600 mila €;https://www.transfermarkt.com/kenji-gorre/profil/spieler/374889
Curaçao;572519;15;Ar'jany Martha;Ala destra;04/09/2003;22;Rotherham United;1,80m;sinistro;7;2;06/09/2024;700 mila €;https://www.transfermarkt.com/arjany-martha/profil/spieler/572519
Curaçao;538958;16;Jearl Margaritha;Ala sinistra;10/04/2000;26;SK Beveren;1,81m;destro;21;5;08/09/2023;1,00 mln €;https://www.transfermarkt.com/jearl-margaritha/profil/spieler/538958
Curaçao;232219;17;Brandley Kuwas;Ala destra;19/09/1992;33;FC Volendam;1,81m;sinistro;33;2;11/09/2018;250 mila €;https://www.transfermarkt.com/brandley-kuwas/profil/spieler/232219
Curaçao;339337;18;Armando Obispo;Difensore centrale;05/03/1999;27;PSV Eindhoven;1,85m;sinistro;5;-;11/10/2025;4,00 mln €;https://www.transfermarkt.com/armando-obispo/profil/spieler/339337
Curaçao;240752;19;Gervane Kastaneer;Punta centrale;09/06/1996;29;Terengganu FC;1,89m;destro;28;9;12/10/2018;225 mila €;https://www.transfermarkt.com/gervane-kastaneer/profil/spieler/240752
Curaçao;207006;20;Joshua Brenet;Terzino destro;20/03/1994;32;Kayserispor;1,81m;destro;16;1;06/06/2024;1,00 mln €;https://www.transfermarkt.com/joshua-brenet/profil/spieler/207006
Curaçao;344830;21;Tahith Chong;Trequartista;04/12/1999;26;Sheffield United;1,85m;sinistro;5;3;06/09/2025;3,50 mln €;https://www.transfermarkt.com/tahith-chong/profil/spieler/344830
Curaçao;433933;22;Kevin Felida;Mediano;11/11/1999;26;FC Den Bosch;1,74m;destro;19;1;09/06/2021;400 mila €;https://www.transfermarkt.com/kevin-felida/profil/spieler/433933
Curaçao;216443;23;Riechedly Bazoer;Difensore centrale;12/10/1996;29;Konyaspor;1,84m;destro;4;-;06/09/2025;1,50 mln €;https://www.transfermarkt.com/riechedly-bazoer/profil/spieler/216443
Curaçao;708989;24;Deveron Fonville;Difensore centrale;16/05/2003;23;NEC Nijmegen;1,88m;sinistro;1;-;30/05/2026;1,50 mln €;https://www.transfermarkt.com/deveron-fonville/profil/spieler/708989
Curaçao;663961;25;Tyrick Bodak;Portiere;15/05/2002;24;SC Telstar;1,90m;destro;4;-;09/10/2021;25 mila €;https://www.transfermarkt.com/tyrick-bodak/profil/spieler/663961
Curaçao;390814;26;Trevor Doornbusch;Portiere;06/07/1999;26;VVV-Venlo;1,88m;destro;7;-;13/06/2023;50 mila €;https://www.transfermarkt.com/trevor-doornbusch/profil/spieler/390814
Ecuador;77127;1;Hernán Galíndez;Portiere;30/03/1987;39;CA Huracán;1,89m;destro;34;-;23/06/2021;300 mila €;https://www.transfermarkt.com/hernan-galindez/profil/spieler/77127
