formation_id;team_name;round;registered_at;players_count;line_order;line_text
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;4;TITOLARI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;5;PORTIERI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;6;P1. Unai Simón - Spagna
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;7;DIFENSORI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;8;D1. Denzel Dumfries - Paesi Bassi
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;9;D2. Kristoffer Ajer - Norvegia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;10;D3. Johan Mojica - Colombia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;11;CENTROCAMPISTI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;12;C1. Jamal Musiala - Germania
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;13;C2. Leon Goretzka - Germania
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;14;C3. Pedri - Spagna
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;15;C4. Tijjani Reijnders - Paesi Bassi
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;16;ATTACCANTI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;17;A1. Erling Haaland - Norvegia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;18;A2. Kylian Mbappé - Francia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;19;A3. Lamine Yamal - Spagna
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;20;RISERVE
